com_name,cont_name,cont_tel
中国邮政集团有限公司佛山市分公司,骆文健,0757-83326828
中国邮政集团有限公司佛山市分公司,梁远琛,0757-83328620
怀集县工业和信息化局,,0758-5523235
高明区人民医院,,0757-88681902
东莞市应急管理局莞城分局,彭睿,15016899000
深圳市生态环境监测站,,0755-23242242
深圳市生态环境监测站,廖工,0755-33315819
深圳市生态环境监测站,廖琳琳,13923765980
吴川市卫生健康局,,0759-5554449
深圳能源物业管理分公司,,17688994266
深圳中冶管廊建设投资有限公司,,0755-16767340
普宁市城镇环境卫生管理局（普宁市市容环境卫生管理中心）,李景群,0663-2915153
揭阳市揭东区公共事业管理中心,孙先生,0663-3289203
东莞市大朗镇人民政府工业信息科技局,,0769-82816966
东莞市自然资源局寮步分局,陈嘉妍,0769-83219318
东莞市自然资源局寮步分局,刘先生,0769-8887307
东莞市茶山镇人民政府监察室,陈秀玲,13728319974
东莞市公安消防支队望牛墩大队,熊高阳,13802375119
中国检验认证集团广东有限公司黄埔分公司,郭小姐,020-38872857
中国检验认证集团广东有限公司黄埔分公司,阮工,020-82270443
中国邮政集团有限公司揭阳市揭东区分公司,王工,0663-3263268
广州市黄埔区东荟幼儿园,吴老师,13642670843
清远市清城区行政审批局,盘女士,0763-3665633
中山市福荫园公墓华侨墓园经营有限公司,李工,0760-86320666
广州市番禺区国家档案馆,吕荐鸿,020-84636369
惠州交投飞来绿色现代石场有限公司,,0752-2248872
潮州市潮安区凤塘镇双岗村民委员会,,13715833138
紫金县食品公司,范生,0762-7822159
广东粤港澳大湾区国家纳米科技创新研究院,,020-28399508
广东粤港澳大湾区国家纳米科技创新研究院,,020-28399525
广东粤港澳大湾区国家纳米科技创新研究院,王小姐,020-28399526
连平县水务局,尚龙波,0762-4336095
深圳市天健工程技术有限公司,,0755-21450086
东莞市市场监督管理局万江分局,杨丹,13316693828
汕尾市城区红草镇晨洲村民委员会,黄信杰,13729505226
遂溪县遂城第二初级中学,韦宏波,13729198123
乳源瑶族自治县瑶泉自来水有限公司,,0751-5372266
乳源瑶族自治县瑶泉自来水有限公司,罗林杰,0751-5374208
化州市长岐镇新丰小学,李观胜,0668-7865441
东莞市南城体育管理服务中心,张厚德,0769-23198981
东莞市南城体育管理服务中心,李小姐,0769-23198985
东源县残疾人联合会,古先生,0762-8668828
东莞市公立医院运营服务中心,,0769-21669316
东莞市公立医院运营服务中心,殷玛莉,0769-23281100
广州市广百股份有限公司北京路分公司,李小姐,020-83322348
广州市南沙区黄阁镇亭角经济联合社,张小姐,020-84978803
汕头市城市管网建设管理中心,马先生,0754-88293517
广州酒家集团餐饮管理有限公司,谭先生,13660880513
深圳市宝安区松岗街道市政建设工程事务中心,郑工,0755-88918228
广东省机场集团物流有限公司,李先生,020-28232067
广东省机场集团物流有限公司,谢工,020-86124569
广东省机场集团物流有限公司,熊工,020-86137614
广东省机场集团物流有限公司,李工,020-86137753
广东省机场集团物流有限公司,吴工,020-86137807
阳江市第一幼儿园,叶主任,13702806228
广东省农垦汕头实业总公司,吴烜彦,0754-88222236
广东顺控水务投资建设有限公司,王工,0757-22310075
怀集县中洲镇根枝村民委员会,,07585534858
龙源电力广东国电龙源风力发电有限公司,,4000104000-1-7141
广州增城开发区建设发展有限公司,杨工,020-82603963
翁源县周创市政工程有限公司,陈先生,13318581688
阳山县慢性病防治院,,13922556646
梅州市梅江区工商业联合会,吴小玲,0753-2196625
始兴县地方公路事务中心,蓝工,0751-3315970
始兴县地方公路事务中心,何工,0751-3315997
中铁十五局集团路桥建设有限公司惠州市分公司,熊明,17785474515
东莞市茶山镇人民政府审计办公室,陈晓莹,0769-81850026
珠海市金湾区发展和改革局,何冰,0756-7262171
珠海市金湾区发展和改革局,刘乐萍,0756-7262551
广州医科大学附属中医医院,,020-28069258
广州医科大学附属中医医院,饶小姐,020-81226126
广州医科大学附属中医医院,黄先生,020-81226137
广州医科大学附属中医医院,饶增红,020-81226226
中山市古镇镇第二专职消防队,彭康能,0760-23187483
深圳市智慧城市科技发展集团有限公司,徐工,13827425880
东莞市交通运输局道滘分局,黄青青,18925798921
佛山市南海区里水镇沙涌社区上沙股份经济合作社,林月新,0757-85633365
广州中医药大学第三附属医院工会委员会,李小姐,020-22292768
珠海高栏欧港码头有限公司,刘慧,18826906883
广州市天河区新塘街新塘股份合作经济联社三资交易站,,020-82340491
中国邮政集团有限公司深圳市分公司,刘刚,0755-82251127
中国邮政集团有限公司深圳市分公司,石岩,0755-83198102
中国邮政集团有限公司深圳市分公司,胡继斌,0755-83882851
中国邮政集团有限公司深圳市分公司,张先生,0755-83882891
中国邮政集团有限公司深圳市分公司,汤小姐,0755-83882915
陆河县公路事务中心,叶先生,0660-5516028
陆河县公路事务中心,叶工,13719590222
广州白云产业投资集团有限公司,黄工,18819460623
广州从埔高速有限公司,吴先生,020-31522514
深圳市龙岗区布吉街道市政事务中心,郭生,0755-28533538
广东旭峰建筑工程有限公司,,13544667556
广州市番禺区石楼镇农业技术服务中心（广州市番禺区石楼镇水务所）,张景洪,020-84866143
茂名市特殊监所,钟坤凡,0668-2869863-8001
云浮市云安区石城镇中心小学,叶先生,0766-8388106
广州市花都区狮岭镇新庄小学,卢主任,13533014138
佛冈县高岗镇长江小学,,13509250255
佛冈县高岗镇长江小学,,13927672168
中山市城市管理和综合执法局东升执法分局,吴小姐,0760-22218233
徐闻县城北乡石岭小学,陈玖丰,0759-4807279
福田区政务服务数据管理局,,0755-82723305
深圳市深粮冷链物流有限公司,谭小姐,0755-26625435
珠海城扬建设开发有限公司,梁嘉豪,0756-2789317
珠海城扬建设开发有限公司,黄锐铭,0756-2789333
东莞滨海湾新区管理委员会,,0769-26889954
东莞滨海湾新区管理委员会,罗佳豪,13602330988
东莞滨海湾新区管理委员会,余俊彬,13925750023
饶平县柘林镇西澳村民委员会,李泽标,13553791789
东莞市塘厦镇人民政府宣传文体局,黄丽云,13686010313
中山翠亨新区第一中学,朱工,0760-89893632
东莞市清溪市政服务有限公司,刘家棋,0769-89389959
广州市番禺区汽车城发展有限公司,蔡先生,020-39270333
广州市番禺区汽车城发展有限公司,曾先生,020-84642140
广州市城德房地产开发有限公司,徐工,020-83871588
广州越秀城开房地产开发有限公司,钟工,020-66373798
广州越秀城开房地产开发有限公司,赖工,020-86673560
珠海金湾市民艺术中心,望振军,13265958016
东莞市中堂镇第三小学,周先生,0769-88121922
东莞市中堂镇第三小学,莫庆全,0769-88897668
江门市崖门新财富环保工业有限公司,谢先生,0750-6238181
驻惠州某部,,18688321112
中国共产党佛山市顺德区龙江镇委员会组织工作办公室,黄生,0757-23888770
东莞市企石镇中心小学,,13302601025
河源市高新技术开发区管理委员会政务服务数据管理局,李斌,0762-3838289
江门市江海区外海街道环境卫生管理站,,0750-3791546
广东省揭阳农垦集团公司,陈先生,0663-8736933
东莞市樟木头镇人民政府卫生健康局,张玉鸾,13798837293
恩平市地方公路服务中心,吴先生,13422523638
东莞市横沥镇人民政府工业信息科技局,,0769-83726898
广州市净水有限公司京溪分公司,林小姐,020-38890841
东莞市司法局东坑分局,,0769-83883282
汕头市澄海区东里镇新陇经济联合社,金谷洲,13715965111
佛冈县高岗镇高镇小学,,0763-4511330
广州市白云区石门街鸦岗村第十三经济合作社,,13600009877
广州禺通物流有限公司,沈工,020-84622533
广州市天河区新塘街沐陂股份合作经济联社,潘敬煜,13602771178
广州市南沙区万顷沙镇财政所,周小姐,020-84943838
珠海市金湾区三灶镇海澄村党群服务中心,陈秀娟,13825690919
深圳市宝安区石岩街道土地整备事务中心,曾东梅,0755-29059906
深圳市裕盛和投资有限公司,王培堃,0755-89896922
广州市天河区龙洞街龙洞股份合作经济联社,,020-87033078
化州市新安镇新南小学,陈亚发,0668-7730317
广州市天河区车陂街车陂股份合作经济联社交易站,,020-82161538
广州市天河区车陂街车陂股份合作经济联社交易站,黄善威,020-82555909
人保投控（珠海）不动产投资有限公司,姚炜,020-87394343
人保投控（珠海）不动产投资有限公司,付丽妮,0756-3255260
国家税务总局韶关市曲江县税务局,黄先生,0751-6696205
中山市港口镇石特股份合作经济联合社,,0760-88413308
湛江市粮食和物资储备局霞山分局,,020-2226114
乳源瑶族自治县银源电力集团有限公司,,0751-5366663
乳源瑶族自治县银源电力集团有限公司,,0751-5372266
广州保泰实业发展有限公司,陈工,13632433341
始兴县太平镇卫生院,李新华,0751-3333180
清远市清城区退役军人事务局,,13610545180
珠海华保开发建设有限公司,罗健烽,0756-8303639
韶关市高标准农田建设工作领导小组办公室,谢先生,0751-8633071
韶关市高标准农田建设工作领导小组办公室,谢先生,0751-8899823
廉江市和寮镇卫生院,何先生,0759-6100803
廉江市和寮镇卫生院,何生,0759-8854202
广州安茂铁路咨询有限公司,谭先生,0731-82634822
佛山市南海区佛山西站建设管理局,刘小姐,0757-86683191
潮州市交通运输工程质量监督站,,0768-6888805
中国铁路广州集团有限公司,尹靖龙,18007444829
中山市大涌镇起凤环社区股份合作经济联合社,李先生,0760-87128001
中山市大涌镇起凤环社区股份合作经济联合社,,13425509111
中共化州市委政法委员会,李志文,0668-7362686
国家税务总局广州市税务局第二稽查局,袁先生,020-81345451
连山壮族瑶族自治县禾洞农林场,,0763-8960608
佛山市南海区救助站,,0757-85210695
广州市白云投资开发有限公司,吴工,020-37417131
茂名市社会福利中心,杨小姐,0668-2283267
潮州市韩江新城污水处理（近期）工程水厂部,,022-65541869
坪山区卫生监督所,,0755-84139633
湛江燕塘澳新牧业有限公司,吴镒,020-32639988
中国人民政治协商会议深圳市龙华区委员会,陈旖,0755-23332506
深圳市盐田区城市管理和综合执法局,刘工,0755-82633582
深圳市盐田区城市管理和综合执法局,蔡锐,13342951521
深圳市盐田区城市管理和综合执法局,刘泽彬,13652256364
深圳市盐田区城市管理和综合执法局,刘工,15013857006
深圳市盐田区城市管理和综合执法局,梁锐强,15019421271
广州市天河区黄村街黄村股份合作经济联社,黄锦彬,020-82304441
广州市天河区黄村街黄村股份合作经济联社,魏先生,020-82320183
广东省科学院梅州产业技术研究院有限公司,王先生,15013149755
深圳市龙岗区南湾街道鸿润豪苑第一届业主委员会,刘劲松,13530564848
惠东县日用杂品公司,,13923606681
广州市水库移民工作办公室,曾鹂,020-88521252
东莞市洪梅镇人民政府监察室,李曼盈,15818495371
东莞市东城退役军人服务中心,邓建华,13450666808
东莞市长安镇长盛社区居民委员会,李惠仪,13802379900
东莞市市场监督管理局企石分局,,0769-86666665
东莞市市场监督管理局企石分局,钟煦升,13826930050
东莞市道路停车事务中心,罗映开,0769-22775592
普宁市消防救援大队,范利通,0663-2296119
中国邮政集团有限公司广州市分公司,张工,020-38188740
中国邮政集团有限公司广州市分公司,杨先生,020-38188956
广州市番禺区城市管理和综合执法局沙头街执法队,刘锐恒,020-39105507
东莞市麻涌镇新沙公园,,18822965582
深圳市坪山区教育科学研究院,,0755-83945980
中山市应急管理局坦洲分局,,0760-86639911
汕头市澄海区青少年业余体育学校,,0754-86986631
广州永固投资有限公司,王工,020-34819302
广州永固投资有限公司,王工,02034819302
化州市归国华侨联合会,黄石轩,0668-7367667
中国邮政集团有限公司珠海市分公司,蔡小姐,0756-2168005
东莞市桥头镇莲城社区居民委员会,,0769-81029155
惠州市龙门县财政局,,13428066971
内蒙古自治区赤峰市敖汉旗惠州街道办喇嘛蒿村村民委员会,吕先生,13088436080
佛山市顺德区龙江镇集北村民委员会,黎先生,0757-23380040
东莞市谢岗中学,彭盛森,0769-87762821
博罗县林业科学研究所,,13437774145
珠海斗门财金投资控股有限公司,李瑞生,0756-2789386
中山市公安消防支队南朗大队,龙工,0760-23185423
茂名市电白区旦场镇中心幼儿园,,18929799089
广东省粤东技师学院,,020-87541935
广东省粤东技师学院,,020-87557526
广东省粤东技师学院,,021-31216888-3206
广东省粤东技师学院,,0754-83592988
广东省粤东技师学院,,0754-85880234
广东省粤东技师学院,,0754-88307771
广东省粤东技师学院,,0754-88321888
广东省粤东技师学院,,0754-88572382
广东省粤东技师学院,,0754-88641518
广东省粤东技师学院,,0754-88862002
广东省粤东技师学院,,0754-89690115
广东省粤东技师学院,,13302289401
惠州市望江小学,,13413183322
建筑装饰0深圳五所幼儿园,聂家星,15671582814
陆河县新田镇新田小学,刘春丽,0660-5570579
陆河县新田镇新田小学,杨先生,15900119869
南雄市档案馆,邓先生,0751-3822502
国华电力国华惠州热电厂,,010-58133208
国华电力国华惠州热电厂,,010-58681315
国华电力国华惠州热电厂,,010-58681328
国华电力国华惠州热电厂,,18001199711
国华电力国华惠州热电厂,,4000104000-1-1327
国华电力国华惠州热电厂,,4000104000-1-8027
国华电力国华惠州热电厂,,4000104000-1-8067
国华电力国华惠州热电厂,,4000104000-1-8093
国华电力国华惠州热电厂,,4000104000-1-8108
国华电力国华惠州热电厂,,4000104000-1-8134
国华电力国华惠州热电厂,,4000104000-1-8137
国华电力国华惠州热电厂,,4000104000-1-8150
国华电力国华惠州热电厂,,4000104000-1-8164
国华电力国华惠州热电厂,,4000104000-1-8180
国华电力国华惠州热电厂,,4000104000-17052
国华电力国华惠州热电厂,,4000104000-17058
国华电力国华惠州热电厂,,4000104000-8187
揭阳产业转移工业园白塔镇塔北小学,,0663-3592528
湛江经济技术开发区食品药品监督管理局,黄先生,0759-2929016
信宜市平塘镇马安小学,许国辉,0668-8136983
国家税务总局河源市高新技术开发区税务局,吴先生,0762-3829678
茂名市交通运输局茂南分局,李建清,0668-2166333
茂名市电白区疾病预防控制中心,谢小姐,0668-5599250
阳江高新区平冈镇人民政府,黄荣繁,0662-3823899
广东省职业技能服务指导中心,伍先生,020-83369085
广东省职业技能服务指导中心,徐文春,020-83521691
东莞市城建档案馆,石柳,13450669745
云浮市云安区（地养部分）通镇公路建设改造项目管理中心,黄旭荣,0766-8638506
广东顺铁控股有限公司,黄工,0757-29381352
潮州市潮安区龙湖镇鹳四秀英小学,吴少聪,0768-6594881
清远市林业局清城分局,,13927687476
广州市白云区太和镇园夏经济联合社,颜庆彬,13302232171
乳源瑶族自治县政府投资建设项目代建中心,,0751-5361719
乳源瑶族自治县政府投资建设项目代建中心,,0751-5362066
乳源瑶族自治县政府投资建设项目代建中心,,0751-53620662
惠城区桥东街道办事处社区卫生服务中心,,0752-2152018
潮州市潮安区文祠镇上荣小学,,0768-6741031
化州市林尘镇白沙村民委员会,陈先生,18806672033
兴宁市公路事务中心,胡先生,0753-3381441
兴宁市公路事务中心,罗先生,0753-3396656
中山市医疗保障事业管理中心,,0760-88889753
五华县水寨镇大坝五金街居民新村,钟先生,0753-4288813
中国二冶集团广东分公司深圳市光明科,李学清,13676260963
中国二冶集团广东分公司深圳市光明科,李学清,15661616621
中国二冶集团广东分公司深圳市光明科,段异武,15934920348
云浮市云城区应急管理局,李宝文,0766-8831826
广州市天河区渔沙坦经济发展公司,,020-37690255
广州市天河区渔沙坦经济发展公司,徐伟东,13719097052
珠海华侨宾馆有限责任公司,王辉,13431586850
清远市鸿基鸿运广场物业管理有限公司,黄先生,0763-3385078
东莞市中西医结合医院,冼叶明,0769-82766333
深圳市第二儿童医院,郑镇涛,15815093758
深圳市第二儿童医院,张勇,18520454302
大埔县市场监督管理局,,0753-2526062
大埔县市场监督管理局,张淑红,0753-5557329
大埔县市场监督管理局,张淑红,0753-5557368
大埔县市场监督管理局,,13823803854
肇庆市自然保护区管理办公室,董先生,0758-2269193
汕头市金平区环境卫生事务中心,杨树江,0754-86737571
广东华兴银行股份有限公司,黄先生,020-38173118
佛山市医疗保障局南海分局,肖淑慧,0757-86313438
湛江经济技术开发区赤岭小学,吴先生,13828293621
信宜市人民政府机关事务管理局,杨军成,0668-8886947
中共佛山市南海区委统战部,郑志添,0757-86326861
湛江市赤坎区城市管理和综合执法局,邓工,0759-3339544
湛江市赤坎区城市管理和综合执法局,,13542088387
南雄市实验中学,蓝霞秀,0751-3869081
佛山市南海区人大常委会桂城街道工作委员会办公室,杨剑波,0757-81813808
珠海港弘码头有限公司,杨硕,0756-6279365
连州市第一幼儿园,易江群,0763-6623902
茂名市站前街道办事处,梁治,0668-2907218
佛山市南海区狮山镇象岭村民委员会,,13435402008
韶关市公安局武江分局森林派出所,丘日雄,0751-8772530
东莞市麻涌镇规划管理所,莫先生,0769-88226399
阳江市江城区南恩街道办事处,冯国让,0662-3102793
阳江市江城区南恩街道办事处,,0662-3222220
陆河县慢性病防治站,黄奕鹏,0660-5528240
阳江市国有阳江林场,余雄,0662-3103607
阳江市国有阳江林场,,0662-3108676
潮州市湘桥区磷溪镇塘边华侨学校,丁泽银,0768-6280955
中共茂名市茂南区委政法委员会,沈雁鹏,0668-2803233
东莞市南城街道办事处残疾人联合会,张焕南,0769-23198332
英德市水边镇卫生院,饶志坚,0763-2711018
广东省江门市质量技术监督标准与编码所,沈建锋,0750-3286226
阳江市阳东区雅韶镇人民政府,李宗永,0662-6790188
佛山市南海区应急管理局,曾成斌,0757-86229935
茂名市茂南区发展和改革局,甘南,0668-2811209
茂名市茂南区镇盛镇斜岭村民委员会,陈先生,0668-2386086
惠州市第二小学,龚志平,0752-2327628
阳西县塘口镇卫生院,卢先整,0662-5691728
清远市公安局清新森林分局,黄建维,0763-5811517
徐闻县下桥中学,邹老师,13652846210
广州市白云公有资产运营有限公司,吴工,020-32585120
广州南沙现代农业产业集团公司,,020-84529389
广州南沙现代农业产业集团公司,魏工,13751775352
广州南沙现代农业产业集团公司,万先生,18127833555
韶关市曲江区工业和信息化局,宋萃文,0751-6682428
广州琶洲港澳客运有限公司,谢小姐,020-83528249
南雄市丰乐水稻种植专业合作社,,18927803129
中山市南区教育事务指导中心,曹琪雨,0760-89900269
广东汕尾红海湾经济开发区城乡建设和管理局,金先生,0660-3437762
佛山市三水区乐平镇公有资产委员会办公室,,13266344011
江门市新会区古井能源服务有限公司,胡经理,13652735203
四川省泸州市叙永县叙永县江门镇人民政府,曾先生,13698161608
广州市南沙区工业和科技信息化局,,020-39910512
广州市南沙区工业和科技信息化局,梁碧英,020-84985618
韶关市曲江区自然资源技术中心,林小姐,0751-6690367
韶关市曲江区自然资源技术中心,,0751-6691196
东莞市自然资源局凤岗分局,赖柳桃,13532355228
深圳深能综合充电服务有限公司,吴久华,13750286823
东莞市横沥镇招投标服务所,吴清霞,13712785866
中国共产党望牛墩镇企业工作委员会,徐建坤,15816812213
深圳市未来智能网联交通系统产业创新中心,张工,0755-89661468
东莞市输变电工程建设有限责任公司,王小姐,0769-83237889-8211
深圳市天健坪山建设工程有限公司,,0755-83685822
深圳市天健坪山建设工程有限公司,,0755-83920166
阳山县发展和改革局,,0763-6848996
阳山县发展和改革局,,13415211700
国家税务总局广州市税务局第二税务分局,,020-35910297
东莞市沙田镇残疾人联合会,,0769-88801676
东莞市黄江镇人民政府（受东莞市黄江镇人民政府农林水务局）,陈先生,0769-82260827
汕尾市体育场馆中心,夏翼,0660-3280968
广州市白云区走马岗社区服务中心,李工,020-86013310
湛江市工人文化宫,,13600389308
湛江市工人文化宫,符先生,18820626688
清远市清城区东城街新桥学校,,13926614178
阳山县供销合作社联合社,,0763-7882528
阳山县供销合作社联合社,,0763-7884441
紫金县人民武装部,毛先生,0762-7822006
广州市天河区黄村街黄村,黄日新,020-82308483
广州市天河区黄村街黄村,黄铭洲,13533072043
广州市天河区黄村街黄村,黄日新,13711676007
广州市天河区黄村街黄村,黄志波,15918556297
东莞市联塘物业投资有限公司,谢俊杰,0769-83386618
佛山市顺德区昌教小学,刘主任,0757-29993183
乳源瑶族自治县桂头镇人民政府,,0751-5393215
怀集县汶朗镇人民政府,高先生,0758-5482233
怀集县汶朗镇人民政府,,0758-5509443
怀集县汶朗镇人民政府,,0758-5792210
佛山市顺德区大良街道卫生和计划生育局,冯小姐,13590601636
阳江市自然资源局高新分局,,0662-3833389
南雄市生态公益林管理总站,,0751-3871265
东莞恒运新能源有限公司,许工,0769-82661562
深圳市深汕特别合作区景观园林工程有限公司,殷晨晖,15814483927
信宜市北界镇明堂村村民委员会,梁先生,0668-0000000
信宜市北界镇明堂村村民委员会,梁先生,13535919632
揭西县文学艺术界联合会,,0663-5584396
茂名市体育彩票管理中心,陈小燕,0668-2197178
广东省河源市紫金县柏埔镇复兴村村民委员会,陈先生,18124489896
广州南沙江海联运码头有限公司,崔工,020-84528231
广东省渔政总队东海大队,王畅,0759-2908322
江苏银河物业管理有限公司汕头分公司,张明元,18651667675
佛山市南海区监察局里水分局,刘锐,0757-85620955
乳源瑶族自治县退役军人事务局,袁振谦,0751-5388362
中共惠州市惠城区委党史研究室,刘涛,0752-2298735
东莞市万江金鳌新村物业投资有限公司,陈文伟,0769-22786198
揭阳市空港经济区砲台镇石牌社区居民委员会,,0663-3351402
英德市大城南实业投资有限公司,,15915883760
东莞市城市管理和综合执法局清溪分局,朱桂媚,13532409906
东莞市人力资源和社会保障局企石分局,黄炜君,13537444081
深圳市曙光信息技术有限公司,,0755-83121775
揭阳市大南山华侨管理区管理委员会,方翠红,0663-6450193
汕头市潮南区人力资源和社会保障局,郑良武,0754-87761041
揭阳新华中学,,0663-3351547
广州市白云区城市更新发展中心,龙小姐,020-86379268
深圳市医疗保障局南山分局,何晖珊,0755-26520491
潮州市潮安区发展和改革局价格认证中心,,0768-2276212
潮州市潮安区发展和改革局价格认证中心,曾映玲,0768-5812230
汕尾市建设工程造价管理站,陈实群,0660-3313513
信宜市平塘镇平塘小学,邱国强,0668-8138713
吴川市市场监督管理局,肖康玉,0759-5581319
吴川市吴阳围水利工程管理所,吴木生,0759-5834056
吴川市海滨街道新地小学,康连,0759-5504862
吴川市梅录街道瓦窑小学,何加强,0759-5291412
广东海燕电子音像出版社有限公司,张小姐,020-38299130
信宜市平塘镇湾龙小学,张南生,0668-8138693
中国邮政集团有限公司惠州市分公司,吕先生,0752-5789223
中国邮政集团有限公司惠州市分公司,刘先生,0752-5789355
广州市番安商务服务有限公司,何先生,02084890180
广东伟业罗非鱼良种有限公司,简先生,0668-2333208
广东伟业罗非鱼良种有限公司,简先生,13809671256
汕头市金平区金厦街道社区卫生服务中心,蔡锦强,0754-86723313
中国共产主义青年团东莞市石碣镇委员会,何艳秋,13553869465
广宁县螺岗镇卫生院,李有成,0758-8801223
潮州市潮安区东凤镇横江小学,陈伟涛,0768-6589447
潮州市潮安区东凤镇仙桥小学,郭锐鹏,0768-6907060
茂名市河西街道办事处,何辉亮,0668-2266662
河源市源城区源西街道江源社区居民委员会,严先生,0762-3351029
惠州市储备军粮供应公司,杨先生,0752-3897606
中国共产党兴宁市委员会宣传部,,0753-3389932
茂名市青年志愿者行动指导中心,徐丹,0668-3332226
佛山市南海区大沥镇海北第一幼儿园,梁霭贤,0757-85925932
广州市南沙区榄核镇土地征收与补偿工作办公室,杨云鹤,020-84927827
茂名市茂南区人力资源培训中心,吴亚进,0668-2536969
湛江市赤坎区委统战部,,0759-8208206
中交（肇庆）生态环境投资发展有限公司,鲁先生,0758-6977878
广州市天河区沙东街沙东股份合作经济联社,,020-37395159
雷州市市场物业管理局,朱其喜,13542095481
海丰县消防救援大队,蔡先生,13927926118
湛江市粮食和物资储备局,吴德智,0759-2836993
中共徐闻县委老干部局,符勋明,0759-4852437
汕头市澄海区凤翔街道南港经济联合社,王主任,13433833106
广州市增城区石滩镇元美村经济联合社,姚伟林,020-82913531
开平市机关事务服务中心,黄素媚,0750-2268039
广东省河源市紫金县柏埔镇利民村村民委员会,钟先生,15819254008
广东省河源市紫金县柏埔镇方湖村村民委员会,钟先生,13794728967
蒙牛乳业冰品事业部清远工厂,,15816234987
廉江市食品公司,林先生,0759-6613319
罗定市医疗保障局,黎明光,0766-3898823
江门市鹤山公路事务中心,崔先生,0750-8812607
东莞市横沥镇公共汽车有限公司,陈先生,13600282310
深圳市光明区凤凰街道建设工程事务中心,严工,0755-23195659
深圳市光明区凤凰街道建设工程事务中心,严工,0755-23195879
中国人民解放军广东省珠海警备区政治工作处,张干事,18826920357
中国人民解放军广东省珠海警备区政治工作处,,18926951355
信宜市北界镇中心幼儿园,邓志杰,0668-8519567
东莞市凤岗镇教育管理中心,钟智慧,0769-82527778
东莞市凤岗镇教育管理中心,陈少君,0769-87776333
东莞市凤岗镇教育管理中心,钟智慧,13631742627
潮州市湘桥区磷溪镇八村小学,刘育苗,0768-6706122
高州市石板镇人力资源和社会保障服务所,钟适通,0668-6450038
佛山市顺德区杏坛镇林文恩初级中学,许伟明,0757-29818299
东莞市大岭山镇水朗第二股份经济合作社,黎锦标,13662922925
潮州市潮安区文祠中学,,0768-6744870
潮州市潮安区文祠中学,,13531559578
广州市番禺区人民武装部,罗助理,020-84831137
陆丰市湖东镇中心小学,卓坤涛,0660-8118588
阳江市社会保险基金管理局阳春分局,,0662-3338283
阳江市社会保险基金管理局阳春分局,黄俊,0662-7739701
阳江市社会保险基金管理局阳春分局,,0662-7762838
高明区安通运输站场有限公司,朱先生,0757-88219823
洪雅县中山镇人民政府,李老师,18180055239
深圳市富通房地产集团有限公司,江工,0755-27934000
深圳市南山区施工安全监督站,李云,0755-26161332
河源市工业和信息化局,张先生,0762-3372171
河源市工业和信息化局,,13829398388
东莞市长安镇咸西社区居民委员会,麦生,0769-85399303
中国邮政集团公司广东省广宁县分公司,刘先生,0758-8631723
东莞市交通运输局大朗分局,林凤英,13922964788
肇庆市高要区政务服务数据管理局,吴德江,0758-8398101
新丰县社会福利院,潘桂兰,0751-2256859
深圳市燃气集团股份有限公司南山分公司,高勇帅,13538060694
中山市城市管理和综合执法局坦洲执法分局,陈先生,0760-88309736
茂名市茂南区审计局,陈略,0668-2813460
普宁市池尾街道办事处,杨楚彬,0663-2283888
中国二冶集团广东分公司,孙学东,15848200456
中国二冶集团广东分公司,李学清,18829233941
惠州市社会保险基金管理局惠东分局,王素一,0752-8801810
东莞市横沥镇村尾股份经济联合社,叶先生,0769-82806038
广州市天河区珠吉街吉山股份合作经济联社,梁生,020-82371305
云浮市职业技能鉴定指导中心,廖月来,0766-8869198
珠海市金湾区政府投资项目建设管理中心,杨志伟,0756-7262132
珠海市金湾区政府投资项目建设管理中心,陈莹,0756-7262811
珠海市金湾区政府投资项目建设管理中心,熊宁卡,0756-7793160
江门市蓬江区棠下镇仁厚村民委员会,吴先生,13822445922
云浮市云安区高村镇中学,曾秀林,0766-8661948
信宜市东镇街道财政所,方桂恒,13925447686
汕头市潮阳区应急管理局,廖俊镇,0754-83600520
中国共产主义青年团深圳市南山区委员会,张老师,0755-86211198
中国共产主义青年团深圳市南山区委员会,,0755-86665215
中国共产主义青年团深圳市南山区委员会,郑炜,13714945206
阳春市岗美镇中心小学,黄基部,0662-7780006
阳春市慢性病防治站,黄安东,0662-7722261
惠州哈尔滨工业大学国际创新研究院,孙长彬,17727289439
汕头市龙湖区人民政府办公室,刘思蔚,0754-88263572
汕头市龙湖区人民政府办公室,郑小姐,0754-88263574
南头镇农业和农村工作局,范枝鑑,13326902263
汕头市审计局,倪世凯,0754-88425459
广州市番禺区人民政府,刘工,020-31037679
广州市番禺区人民政府,黄工,020-34807207
东莞市城市管理和综合执法局东坑分局,陈静敏,0769-83888863
中共清远市清新区委宣传部,梁军红,0763-5826415
梅州市梅县区雁洋镇中心小学,罗发文,0753-2825305
佛山市顺德区伦教街道卫生和计划生育局,何炜杰,0757-27757462
阳西县高新滨海控股集团有限公司,项国斌,0662-5531398
茂名市电白区应急管理局,谢绍邦,0668-5519300
丰顺县潘田镇卫生院,冯宗耀,0753-6470243
广东盛路通信科技股份有限公司,叶丽荣,0757-83789950
广东盛路通信科技股份有限公司,叶丽荣,0757-87744942
汕头市潮师高级中学,黄先生,0754-82251726
汕头市潮师高级中学,刘晓伟,0754-82609627
罗定市国有资产管理中心,陈显,0766-3728148
潮州市潮安区彩塘镇东里小学,黄杏瑶,0768-5630104
深圳市东门商业步行街区管理办公室,李爱兵,13925256131
